Time	Close	Long	Short
2018-01-05 02:52:00	0.18186102109467958	1	1
2018-01-05 02:53:00	0.18186102109467958	1	1
2018-01-05 02:54:00	0.18157343317997834	1	1
2018-01-05 02:55:00	0.18155828102430388	1	1
2018-01-05 02:56:00	0.18108659441815794	1	1
2018-01-05 02:57:00	0.1817852603163073	1	1
2018-01-05 02:58:00	0.1812243275132388	1	1
2018-01-05 02:59:00	0.18092340570154405	1	1
2018-01-05 03:00:00	0.18080037019746742	1	1
2018-01-05 03:01:00	0.18080006715435393	1	1
2018-01-05 03:02:00	0.18080052171902417	1	1
2018-01-05 03:03:00	0.1804823264498605	1	1
2018-01-05 03:04:00	0.18008791583765432	1	1
2018-01-05 03:05:00	0.18004276241374445	1	1
2018-01-05 03:06:00	0.17936182453773422	1	1
2018-01-05 03:07:00	0.17936091540839377	1	1
2018-01-05 03:08:00	0.17936106692995052	1	1
2018-01-05 03:09:00	0.17943652466520932	1	1
2018-01-05 03:10:00	0.17867921992459984	1	1
2018-01-05 03:11:00	0.17852769836785523	1	1
2018-01-05 03:12:00	0.17866421929048212	1	1
2018-01-05 03:13:00	0.17866421929048212	1	1
2018-01-05 03:14:00	0.17852769836785523	1	1
2018-01-05 03:15:00	0.17845193758948294	1	1
2018-01-05 03:16:00	0.17866421929048212	1	1
2018-01-05 03:17:00	0.17875316244429118	1	1
2018-01-05 03:18:00	0.17883074148134442	1	1
2018-01-05 03:19:00	0.17935909714971285	1	1
2018-01-05 03:20:00	0.17935909714971285	1	1
2018-01-05 03:21:00	0.17935909714971285	1	1
2018-01-05 03:22:00	0.1792853061515782	1	1
2018-01-05 03:23:00	0.17898211151653226	1	1
2018-01-05 03:24:00	0.17892150289383443	1	1
2018-01-05 03:25:00	0.17873998006885441	1	1
2018-01-05 03:26:00	0.17882225627416673	1	1
2018-01-05 03:27:00	0.1787246763916232	1	1
2018-01-05 03:28:00	0.178890895539372	1	1
2018-01-05 03:29:00	0.17879998260532526	1	1
2018-01-05 03:30:00	0.17822950394418186	1	1
2018-01-05 03:31:00	0.17776993906257552	1	1
2018-01-05 03:32:00	0.1782245037328093	1	1
2018-01-05 03:33:00	0.1782245037328093	1	1
2018-01-05 03:34:00	0.1786492186563644	1	1
2018-01-05 03:35:00	0.1786492186563644	1	1
2018-01-05 03:36:00	0.17864937017792115	1	1
2018-01-05 03:37:00	0.17878558805743455	1	1
2018-01-05 03:38:00	0.178982263038089	1	1
